  Frequency            , DB(V(Vs4)/ I(C7))    
  1.227439231158e+00  ,1.022603157145e+02  
  1.230268770812e+00  ,1.022403310814e+02  
  1.233104833229e+00  ,1.022203464981e+02  
  1.235947433445e+00  ,1.022003619646e+02  
  1.238796586530e+00  ,1.021803774810e+02  
  1.241652307592e+00  ,1.021603930473e+02  
  1.244514611771e+00  ,1.021404086637e+02  
  1.247383514243e+00  ,1.021204243301e+02  
  1.250259030218e+00  ,1.021004400468e+02  
  1.253141174941e+00  ,1.020804558137e+02  
  1.256029963695e+00  ,1.020604716310e+02  
  1.258925411794e+00  ,1.020404874987e+02  
  1.261827534591e+00  ,1.020205034168e+02  
  1.264736347471e+00  ,1.020005193855e+02  
  1.267651865858e+00  ,1.019805354048e+02  
  1.270574105209e+00  ,1.019605514748e+02  
  1.273503081017e+00  ,1.019405675956e+02  
  1.276438808811e+00  ,1.019205837672e+02  
  1.279381304158e+00  ,1.019005999897e+02  
  1.282330582656e+00  ,1.018806162632e+02  
  1.285286659944e+00  ,1.018606325877e+02  
  1.288249551693e+00  ,1.018406489633e+02  
  1.291219273614e+00  ,1.018206653901e+02  
  1.294195841450e+00  ,1.018006818681e+02  
  1.297179270984e+00  ,1.017806983974e+02  
  1.300169578033e+00  ,1.017607149780e+02  
  1.303166778452e+00  ,1.017407316101e+02  
  1.306170888132e+00  ,1.017207482937e+02  
  1.309181922999e+00  ,1.017007650288e+02  
  1.312199899019e+00  ,1.016807818155e+02  
  1.315224832192e+00  ,1.016607986539e+02  
  1.318256738556e+00  ,1.016408155440e+02  
  1.321295634187e+00  ,1.016208324860e+02  
  1.324341535195e+00  ,1.016008494797e+02  
  1.327394457730e+00  ,1.015808665254e+02  
  1.330454417978e+00  ,1.015608836230e+02  
  1.333521432163e+00  ,1.015409007726e+02  
  1.336595516546e+00  ,1.015209179743e+02  
  1.339676687426e+00  ,1.015009352281e+02  
  1.342764961138e+00  ,1.014809525341e+02  
  1.345860354056e+00  ,1.014609698924e+02  
  1.348962882592e+00  ,1.014409873029e+02  
  1.352072563194e+00  ,1.014210047657e+02  
  1.355189412351e+00  ,1.014010222810e+02  
  1.358313446587e+00  ,1.013810398486e+02  
  1.361444682466e+00  ,1.013610574688e+02  
  1.364583136589e+00  ,1.013410751415e+02  
  1.367728825596e+00  ,1.013210928667e+02  
  1.370881766165e+00  ,1.013011106446e+02  
  1.374041975013e+00  ,1.012811284751e+02  
  1.377209468894e+00  ,1.012611463584e+02  
  1.380384264603e+00  ,1.012411642944e+02  
  1.383566378972e+00  ,1.012211822832e+02  
  1.386755828872e+00  ,1.012012003249e+02  
  1.389952631213e+00  ,1.011812184194e+02  
  1.393156802945e+00  ,1.011612365669e+02  
  1.396368361056e+00  ,1.011412547673e+02  
  1.399587322573e+00  ,1.011212730207e+02  
  1.402813704562e+00  ,1.011012913272e+02  
  1.406047524130e+00  ,1.010813096867e+02  
  1.409288798422e+00  ,1.010613280993e+02  
  1.412537544623e+00  ,1.010413465651e+02  
  1.415793779957e+00  ,1.010213650841e+02  
  1.419057521689e+00  ,1.010013836563e+02  
  1.422328787123e+00  ,1.009814022817e+02  
  1.425607593602e+00  ,1.009614209604e+02  
  1.428893958511e+00  ,1.009414396924e+02  
  1.432187899274e+00  ,1.009214584777e+02  
  1.435489433354e+00  ,1.009014773164e+02  
  1.438798578256e+00  ,1.008814962084e+02  
  1.442115351525e+00  ,1.008615151539e+02  
  1.445439770746e+00  ,1.008415341529e+02  
  1.448771853545e+00  ,1.008215532052e+02  
  1.452111617588e+00  ,1.008015723111e+02  
  1.455459080582e+00  ,1.007815914705e+02  
  1.458814260275e+00  ,1.007616106834e+02  
  1.462177174457e+00  ,1.007416299499e+02  
  1.465547840956e+00  ,1.007216492699e+02  
  1.468926277644e+00  ,1.007016686435e+02  
  1.472312502433e+00  ,1.006816880707e+02  
  1.475706533276e+00  ,1.006617075516e+02  
  1.479108388168e+00  ,1.006417270860e+02  
  1.482518085146e+00  ,1.006217466742e+02  
  1.485935642287e+00  ,1.006017663159e+02  
  1.489361077711e+00  ,1.005817860114e+02  
  1.492794409579e+00  ,1.005618057605e+02  
  1.496235656094e+00  ,1.005418255634e+02  
  1.499684835502e+00  ,1.005218454199e+02  
  1.503141966090e+00  ,1.005018653301e+02  
  1.506607066187e+00  ,1.004818852941e+02  
  1.510080154164e+00  ,1.004619053117e+02  
  1.513561248436e+00  ,1.004419253831e+02  
  1.517050367459e+00  ,1.004219455083e+02  
  1.520547529732e+00  ,1.004019656871e+02  
  1.524052753797e+00  ,1.003819859197e+02  
  1.527566058238e+00  ,1.003620062060e+02  
  1.531087461682e+00  ,1.003420265460e+02  
  1.534616982799e+00  ,1.003220469398e+02  
  1.538154640303e+00  ,1.003020673872e+02  
  1.541700452950e+00  ,1.002820878884e+02  
  1.545254439538e+00  ,1.002621084433e+02  
  1.548816618912e+00  ,1.002421290519e+02  
  1.552387009958e+00  ,1.002221497142e+02  
  1.555965631605e+00  ,1.002021704302e+02  
  1.559552502827e+00  ,1.001821911998e+02  
  1.563147642641e+00  ,1.001622120231e+02  
  1.566751070108e+00  ,1.001422329001e+02  
  1.570362804334e+00  ,1.001222538306e+02  
  1.573982864466e+00  ,1.001022748148e+02  
  1.577611269699e+00  ,1.000822958526e+02  
  1.581248039270e+00  ,1.000623169440e+02  
  1.584893192461e+00  ,1.000423380889e+02  
  1.588546748598e+00  ,1.000223592874e+02  
  1.592208727051e+00  ,1.000023805394e+02  
  1.595879147237e+00  ,9.998240184486e+01  
  1.599558028615e+00  ,9.996242320381e+01  
  1.603245390690e+00  ,9.994244461620e+01  
  1.606941253013e+00  ,9.992246608201e+01  
  1.610645635178e+00  ,9.990248760121e+01  
  1.614358556826e+00  ,9.988250917376e+01  
  1.618080037643e+00  ,9.986253079965e+01  
  1.621810097359e+00  ,9.984255247883e+01  
  1.625548755750e+00  ,9.982257421127e+01  
  1.629296032640e+00  ,9.980259599693e+01  
  1.633051947894e+00  ,9.978261783579e+01  
  1.636816521428e+00  ,9.976263972780e+01  
  1.640589773200e+00  ,9.974266167293e+01  
  1.644371723215e+00  ,9.972268367113e+01  
  1.648162391525e+00  ,9.970270572237e+01  
  1.651961798229e+00  ,9.968272782660e+01  
  1.655769963470e+00  ,9.966274998377e+01  
  1.659586907438e+00  ,9.964277219385e+01  
  1.663412650370e+00  ,9.962279445678e+01  
  1.667247212551e+00  ,9.960281677252e+01  
  1.671090614311e+00  ,9.958283914101e+01  
  1.674942876026e+00  ,9.956286156221e+01  
  1.678804018123e+00  ,9.954288403607e+01  
  1.682674061070e+00  ,9.952290656253e+01  
  1.686553025389e+00  ,9.950292914153e+01  
  1.690440931643e+00  ,9.948295177303e+01  
  1.694337800447e+00  ,9.946297445696e+01  
  1.698243652462e+00  ,9.944299719326e+01  
  1.702158508395e+00  ,9.942301998188e+01  
  1.706082389003e+00  ,9.940304282275e+01  
  1.710015315090e+00  ,9.938306571580e+01  
  1.713957307508e+00  ,9.936308866098e+01  
  1.717908387158e+00  ,9.934311165822e+01  
  1.721868574986e+00  ,9.932313470745e+01  
  1.725837891990e+00  ,9.930315780861e+01  
  1.729816359215e+00  ,9.928318096161e+01  
  1.733803997754e+00  ,9.926320416640e+01  
  1.737800828749e+00  ,9.924322742289e+01  
  1.741806873392e+00  ,9.922325073102e+01  
  1.745822152920e+00  ,9.920327409070e+01  
  1.749846688625e+00  ,9.918329750187e+01  
  1.753880501842e+00  ,9.916332096443e+01  
  1.757923613959e+00  ,9.914334447832e+01  
  1.761976046412e+00  ,9.912336804344e+01  
  1.766037820686e+00  ,9.910339165973e+01  
  1.770108958317e+00  ,9.908341532708e+01  
  1.774189480890e+00  ,9.906343904543e+01  
  1.778279410039e+00  ,9.904346281467e+01  
  1.782378767448e+00  ,9.902348663472e+01  
  1.786487574852e+00  ,9.900351050549e+01  
  1.790605854035e+00  ,9.898353442689e+01  
  1.794733626833e+00  ,9.896355839882e+01  
  1.798870915129e+00  ,9.894358242119e+01  
  1.803017740860e+00  ,9.892360649391e+01  
  1.807174126011e+00  ,9.890363061687e+01  
  1.811340092620e+00  ,9.888365478998e+01  
  1.815515662773e+00  ,9.886367901314e+01  
  1.819700858610e+00  ,9.884370328624e+01  
  1.823895702320e+00  ,9.882372760919e+01  
  1.828100216143e+00  ,9.880375198187e+01  
  1.832314422371e+00  ,9.878377640417e+01  
  1.836538343348e+00  ,9.876380087600e+01  
  1.840772001469e+00  ,9.874382539725e+01  
  1.845015419179e+00  ,9.872384996779e+01  
  1.849268618978e+00  ,9.870387458752e+01  
  1.853531623415e+00  ,9.868389925633e+01  
  1.857804455092e+00  ,9.866392397409e+01  
  1.862087136663e+00  ,9.864394874070e+01  
  1.866379690835e+00  ,9.862397355603e+01  
  1.870682140366e+00  ,9.860399841996e+01  
  1.874994508067e+00  ,9.858402333238e+01  
  1.879316816803e+00  ,9.856404829315e+01  
  1.883649089490e+00  ,9.854407330216e+01  
  1.887991349096e+00  ,9.852409835928e+01  
  1.892343618645e+00  ,9.850412346438e+01  
  1.896705921211e+00  ,9.848414861733e+01  
  1.901078279923e+00  ,9.846417381800e+01  
  1.905460717963e+00  ,9.844419906626e+01  
  1.909853258566e+00  ,9.842422436198e+01  
  1.914255925021e+00  ,9.840424970502e+01  
  1.918668740670e+00  ,9.838427509524e+01  
  1.923091728910e+00  ,9.836430053251e+01  
  1.927524913191e+00  ,9.834432601669e+01  
  1.931968317017e+00  ,9.832435154763e+01  
  1.936421963947e+00  ,9.830437712519e+01  
  1.940885877593e+00  ,9.828440274923e+01  
  1.945360081623e+00  ,9.826442841961e+01  
  1.949844599758e+00  ,9.824445413617e+01  
  1.954339455775e+00  ,9.822447989877e+01  
  1.958844673506e+00  ,9.820450570725e+01  
  1.963360276836e+00  ,9.818453156147e+01  
  1.967886289707e+00  ,9.816455746128e+01  
  1.972422736115e+00  ,9.814458340651e+01  
  1.976969640112e+00  ,9.812460939701e+01  
  1.981527025805e+00  ,9.810463543262e+01  
  1.986094917357e+00  ,9.808466151319e+01  
  1.990673338987e+00  ,9.806468763856e+01  
  1.995262314969e+00  ,9.804471380855e+01  
  1.999861869633e+00  ,9.802474002301e+01  
  2.004472027365e+00  ,9.800476628178e+01  
  2.009092812609e+00  ,9.798479258468e+01  
  2.013724249862e+00  ,9.796481893155e+01  
  2.018366363682e+00  ,9.794484532221e+01  
  2.023019178678e+00  ,9.792487175650e+01  
  2.027682719521e+00  ,9.790489823425e+01  
  2.032357010936e+00  ,9.788492475527e+01  
  2.037042077706e+00  ,9.786495131940e+01  
  2.041737944669e+00  ,9.784497792646e+01  
  2.046444636725e+00  ,9.782500457626e+01  
  2.051162178826e+00  ,9.780503126863e+01  
  2.055890595984e+00  ,9.778505800339e+01  
  2.060629913270e+00  ,9.776508478035e+01  
  2.065380155810e+00  ,9.774511159932e+01  
  2.070141348791e+00  ,9.772513846013e+01  
  2.074913517455e+00  ,9.770516536259e+01  
  2.079696687104e+00  ,9.768519230650e+01  
  2.084490883097e+00  ,9.766521929168e+01  
  2.089296130854e+00  ,9.764524631793e+01  
  2.094112455851e+00  ,9.762527338506e+01  
  2.098939883623e+00  ,9.760530049287e+01  
  2.103778439766e+00  ,9.758532764118e+01  
  2.108628149933e+00  ,9.756535482977e+01  
  2.113489039837e+00  ,9.754538205846e+01  
  2.118361135248e+00  ,9.752540932704e+01  
  2.123244462000e+00  ,9.750543663530e+01  
  2.128139045983e+00  ,9.748546398306e+01  
  2.133044913147e+00  ,9.746549137009e+01  
  2.137962089502e+00  ,9.744551879620e+01  
  2.142890601120e+00  ,9.742554626118e+01  
  2.147830474130e+00  ,9.740557376481e+01  
  2.152781734724e+00  ,9.738560130689e+01  
  2.157744409153e+00  ,9.736562888721e+01  
  2.162718523727e+00  ,9.734565650554e+01  
  2.167704104820e+00  ,9.732568416169e+01  
  2.172701178864e+00  ,9.730571185542e+01  
  2.177709772353e+00  ,9.728573958653e+01  
  2.182729911843e+00  ,9.726576735479e+01  
  2.187761623950e+00  ,9.724579515999e+01  
  2.192804935350e+00  ,9.722582300190e+01  
  2.197859872785e+00  ,9.720585088030e+01  
  2.202926463053e+00  ,9.718587879496e+01  
  2.208004733019e+00  ,9.716590674567e+01  
  2.213094709606e+00  ,9.714593473218e+01  
  2.218196419800e+00  ,9.712596275428e+01  
  2.223309890651e+00  ,9.710599081173e+01  
  2.228435149270e+00  ,9.708601890430e+01  
  2.233572222830e+00  ,9.706604703177e+01  
  2.238721138568e+00  ,9.704607519389e+01  
  2.243881923783e+00  ,9.702610339043e+01  
  2.249054605836e+00  ,9.700613162116e+01  
  2.254239212152e+00  ,9.698615988583e+01  
  2.259435770221e+00  ,9.696618818422e+01  
  2.264644307593e+00  ,9.694621651607e+01  
  2.269864851884e+00  ,9.692624488114e+01  
  2.275097430772e+00  ,9.690627327921e+01  
  2.280342072000e+00  ,9.688630171001e+01  
  2.285598803375e+00  ,9.686633017330e+01  
  2.290867652768e+00  ,9.684635866884e+01  
  2.296148648112e+00  ,9.682638719639e+01  
  2.301441817408e+00  ,9.680641575568e+01  
  2.306747188720e+00  ,9.678644434647e+01  
  2.312064790176e+00  ,9.676647296851e+01  
  2.317394649968e+00  ,9.674650162155e+01  
  2.322736796357e+00  ,9.672653030534e+01  
  2.328091257665e+00  ,9.670655901960e+01  
  2.333458062281e+00  ,9.668658776410e+01  
  2.338837238659e+00  ,9.666661653858e+01  
  2.344228815320e+00  ,9.664664534276e+01  
  2.349632820848e+00  ,9.662667417641e+01  
  2.355049283896e+00  ,9.660670303924e+01  
  2.360478233181e+00  ,9.658673193101e+01  
  2.365919697486e+00  ,9.656676085144e+01  
  2.371373705662e+00  ,9.654678980028e+01  
  2.376840286625e+00  ,9.652681877726e+01  
  2.382319469359e+00  ,9.650684778211e+01  
  2.387811282913e+00  ,9.648687681457e+01  
  2.393315756405e+00  ,9.646690587436e+01  
  2.398832919019e+00  ,9.644693496121e+01  
  2.404362800007e+00  ,9.642696407486e+01  
  2.409905428687e+00  ,9.640699321503e+01  
  2.415460834445e+00  ,9.638702238145e+01  
  2.421029046736e+00  ,9.636705157385e+01  
  2.426610095082e+00  ,9.634708079194e+01  
  2.432204009074e+00  ,9.632711003546e+01  
  2.437810818369e+00  ,9.630713930412e+01  
  2.443430552694e+00  ,9.628716859765e+01  
  2.449063241845e+00  ,9.626719791577e+01  
  2.454708915685e+00  ,9.624722725820e+01  
  2.460367604148e+00  ,9.622725662465e+01  
  2.466039337234e+00  ,9.620728601485e+01  
  2.471724145016e+00  ,9.618731542851e+01  
  2.477422057633e+00  ,9.616734486535e+01  
  2.483133105296e+00  ,9.614737432508e+01  
  2.488857318282e+00  ,9.612740380742e+01  
  2.494594726943e+00  ,9.610743331207e+01  
  2.500345361696e+00  ,9.608746283876e+01  
  2.506109253032e+00  ,9.606749238719e+01  
  2.511886431510e+00  ,9.604752195707e+01  
  2.517676927759e+00  ,9.602755154812e+01  
  2.523480772481e+00  ,9.600758116003e+01  
  2.529297996446e+00  ,9.598761079253e+01  
  2.535128630498e+00  ,9.596764044531e+01  
  2.540972705549e+00  ,9.594767011808e+01  
  2.546830252585e+00  ,9.592769981055e+01  
  2.552701302661e+00  ,9.590772952242e+01  
  2.558585886906e+00  ,9.588775925339e+01  
  2.564484036518e+00  ,9.586778900318e+01  
  2.570395782769e+00  ,9.584781877147e+01  
  2.576321157003e+00  ,9.582784855798e+01  
  2.582260190635e+00  ,9.580787836240e+01  
  2.588212915153e+00  ,9.578790818443e+01  
  2.594179362119e+00  ,9.576793802377e+01  
  2.600159563165e+00  ,9.574796788012e+01  
  2.606153549999e+00  ,9.572799775318e+01  
  2.612161354399e+00  ,9.570802764264e+01  
  2.618183008219e+00  ,9.568805754821e+01  
  2.624218543384e+00  ,9.566808746957e+01  
  2.630267991895e+00  ,9.564811740642e+01  
  2.636331385825e+00  ,9.562814735846e+01  
  2.642408757322e+00  ,9.560817732537e+01  
  2.648500138607e+00  ,9.558820730686e+01  
  2.654605561975e+00  ,9.556823730262e+01  
  2.660725059799e+00  ,9.554826731233e+01  
  2.666858664521e+00  ,9.552829733569e+01  
  2.673006408663e+00  ,9.550832737239e+01  
  2.679168324819e+00  ,9.548835742211e+01  
  2.685344445658e+00  ,9.546838748456e+01  
  2.691534803927e+00  ,9.544841755941e+01  
  2.697739432445e+00  ,9.542844764637e+01  
  2.703958364109e+00  ,9.540847774510e+01  
  2.710191631891e+00  ,9.538850785531e+01  
  2.716439268839e+00  ,9.536853797668e+01  
  2.722701308078e+00  ,9.534856810889e+01  
  2.728977782808e+00  ,9.532859825164e+01  
  2.735268726307e+00  ,9.530862840460e+01  
  2.741574171928e+00  ,9.528865856747e+01  
  2.747894153102e+00  ,9.526868873992e+01  
  2.754228703338e+00  ,9.524871892165e+01  
  2.760577856220e+00  ,9.522874911234e+01  
  2.766941645411e+00  ,9.520877931166e+01  
  2.773320104652e+00  ,9.518880951931e+01  
  2.779713267759e+00  ,9.516883973497e+01  
  2.786121168630e+00  ,9.514886995831e+01  
  2.792543841237e+00  ,9.512890018903e+01  
  2.798981319634e+00  ,9.510893042680e+01  
  2.805433637952e+00  ,9.508896067131e+01  
  2.811900830399e+00  ,9.506899092224e+01  
  2.818382931264e+00  ,9.504902117926e+01  
  2.824879974916e+00  ,9.502905144206e+01  
  2.831391995799e+00  ,9.500908171032e+01  
  2.837919028441e+00  ,9.498911198373e+01  
  2.844461107448e+00  ,9.496914226195e+01  
  2.851018267504e+00  ,9.494917254467e+01  
  2.857590543375e+00  ,9.492920283158e+01  
  2.864177969907e+00  ,9.490923312235e+01  
  2.870780582025e+00  ,9.488926341665e+01  
  2.877398414736e+00  ,9.486929371417e+01  
  2.884031503127e+00  ,9.484932401460e+01  
  2.890679882365e+00  ,9.482935431760e+01  
  2.897343587701e+00  ,9.480938462285e+01  
  2.904022654464e+00  ,9.478941493005e+01  
  2.910717118067e+00  ,9.476944523885e+01  
  2.917427014001e+00  ,9.474947554895e+01  
  2.924152377843e+00  ,9.472950586002e+01  
  2.930893245250e+00  ,9.470953617174e+01  
  2.937649651961e+00  ,9.468956648379e+01  
  2.944421633799e+00  ,9.466959679585e+01  
  2.951209226666e+00  ,9.464962710759e+01  
  2.958012466551e+00  ,9.462965741870e+01  
  2.964831389524e+00  ,9.460968772885e+01  
  2.971666031738e+00  ,9.458971803772e+01  
  2.978516429429e+00  ,9.456974834499e+01  
  2.985382618918e+00  ,9.454977865035e+01  
  2.992264636608e+00  ,9.452980895346e+01  
  2.999162518988e+00  ,9.450983925401e+01  
  3.006076302628e+00  ,9.448986955167e+01  
  3.013006024186e+00  ,9.446989984613e+01  
  3.019951720402e+00  ,9.444993013707e+01  
  3.026913428101e+00  ,9.442996042416e+01  
  3.033891184194e+00  ,9.440999070709e+01  
  3.040885025676e+00  ,9.439002098553e+01  
  3.047894989628e+00  ,9.437005125916e+01  
  3.054921113215e+00  ,9.435008152767e+01  
  3.061963433691e+00  ,9.433011179073e+01  
  3.069021988391e+00  ,9.431014204803e+01  
  3.076096814741e+00  ,9.429017229924e+01  
  3.083187950249e+00  ,9.427020254405e+01  
  3.090295432514e+00  ,9.425023278214e+01  
  3.097419299217e+00  ,9.423026301320e+01  
  3.104559588128e+00  ,9.421029323689e+01  
  3.111716337106e+00  ,9.419032345291e+01  
  3.118889584094e+00  ,9.417035366094e+01  
  3.126079367124e+00  ,9.415038386066e+01  
  3.133285724316e+00  ,9.413041405175e+01  
  3.140508693876e+00  ,9.411044423390e+01  
  3.147748314101e+00  ,9.409047440679e+01  
  3.155004623375e+00  ,9.407050457011e+01  
  3.162277660168e+00  ,9.405053472354e+01  
  3.169567463043e+00  ,9.403056486677e+01  
  3.176874070650e+00  ,9.401059499948e+01  
  3.184197521726e+00  ,9.399062512136e+01  
  3.191537855101e+00  ,9.397065523210e+01  
  3.198895109691e+00  ,9.395068533137e+01  
  3.206269324505e+00  ,9.393071541888e+01  
  3.213660538640e+00  ,9.391074549431e+01  
  3.221068791283e+00  ,9.389077555734e+01  
  3.228494121713e+00  ,9.387080560767e+01  
  3.235936569296e+00  ,9.385083564498e+01  
  3.243396173493e+00  ,9.383086566897e+01  
  3.250872973854e+00  ,9.381089567932e+01  
  3.258367010020e+00  ,9.379092567574e+01  
  3.265878321723e+00  ,9.377095565790e+01  
  3.273406948788e+00  ,9.375098562550e+01  
  3.280952931131e+00  ,9.373101557825e+01  
  3.288516308760e+00  ,9.371104551581e+01  
  3.296097121774e+00  ,9.369107543791e+01  
  3.303695410368e+00  ,9.367110534422e+01  
  3.311311214826e+00  ,9.365113523444e+01  
  3.318944575526e+00  ,9.363116510828e+01  
  3.326595532940e+00  ,9.361119496542e+01  
  3.334264127632e+00  ,9.359122480557e+01  
  3.341950400261e+00  ,9.357125462842e+01  
  3.349654391578e+00  ,9.355128443367e+01  
  3.357376142429e+00  ,9.353131422103e+01  
  3.365115693755e+00  ,9.351134399019e+01  
  3.372873086589e+00  ,9.349137374085e+01  
  3.380648362060e+00  ,9.347140347272e+01  
  3.388441561392e+00  ,9.345143318550e+01  
  3.396252725904e+00  ,9.343146287889e+01  
  3.404081897010e+00  ,9.341149255260e+01  
  3.411929116219e+00  ,9.339152220634e+01  
  3.419794425137e+00  ,9.337155183980e+01  
  3.427677865464e+00  ,9.335158145269e+01  
  3.435579478999e+00  ,9.333161104473e+01  
  3.443499307633e+00  ,9.331164061563e+01  
  3.451437393358e+00  ,9.329167016508e+01  
  3.459393778261e+00  ,9.327169969281e+01  
  3.467368504525e+00  ,9.325172919851e+01  
  3.475361614432e+00  ,9.323175868192e+01  
  3.483373150360e+00  ,9.321178814273e+01  
  3.491403154786e+00  ,9.319181758067e+01  
  3.499451670283e+00  ,9.317184699544e+01  
  3.507518739526e+00  ,9.315187638676e+01  
  3.515604405283e+00  ,9.313190575436e+01  
  3.523708710425e+00  ,9.311193509794e+01  
  3.531831697919e+00  ,9.309196441723e+01  
  3.539973410834e+00  ,9.307199371195e+01  
  3.548133892336e+00  ,9.305202298181e+01  
  3.556313185690e+00  ,9.303205222654e+01  
  3.564511334262e+00  ,9.301208144586e+01  
  3.572728381519e+00  ,9.299211063950e+01  
  3.580964371026e+00  ,9.297213980717e+01  
  3.589219346450e+00  ,9.295216894862e+01  
  3.597493351557e+00  ,9.293219806355e+01  
  3.605786430216e+00  ,9.291222715170e+01  
  3.614098626396e+00  ,9.289225621281e+01  
  3.622429984167e+00  ,9.287228524659e+01  
  3.630780547701e+00  ,9.285231425278e+01  
  3.639150361272e+00  ,9.283234323112e+01  
  3.647539469256e+00  ,9.281237218133e+01  
  3.655947916131e+00  ,9.279240110315e+01  
  3.664375746478e+00  ,9.277242999632e+01  
  3.672823004981e+00  ,9.275245886057e+01  
  3.681289736425e+00  ,9.273248769564e+01  
  3.689775985701e+00  ,9.271251650127e+01  
  3.698281797803e+00  ,9.269254527720e+01  
  3.706807217826e+00  ,9.267257402317e+01  
  3.715352290972e+00  ,9.265260273892e+01  
  3.723917062546e+00  ,9.263263142420e+01  
  3.732501577957e+00  ,9.261266007876e+01  
  3.741105882720e+00  ,9.259268870233e+01  
  3.749730022455e+00  ,9.257271729466e+01  
  3.758374042884e+00  ,9.255274585551e+01  
  3.767037989839e+00  ,9.253277438463e+01  
  3.775721909254e+00  ,9.251280288175e+01  
  3.784425847171e+00  ,9.249283134665e+01  
  3.793149849737e+00  ,9.247285977906e+01  
  3.801893963205e+00  ,9.245288817875e+01  
